date,actual_units,forecast_units,model,dimension,entity
2026-04-27,7650.0,7243.0,Seasonal naive,total,All
2026-04-28,7435.0,7447.0,Seasonal naive,total,All
2026-04-29,7249.0,7504.0,Seasonal naive,total,All
2026-04-30,7573.0,7396.0,Seasonal naive,total,All
2026-04-17,818.0,923.0,Naive,store_id,0
2026-04-18,1263.0,923.0,Naive,store_id,0
2026-04-19,1199.0,923.0,Naive,store_id,0
2026-04-20,973.0,923.0,Naive,store_id,0
2026-04-21,941.0,923.0,Naive,store_id,0
2026-04-22,944.0,923.0,Naive,store_id,0
2026-04-23,960.0,923.0,Naive,store_id,0
2026-04-24,952.0,923.0,Naive,store_id,0
2026-04-25,1356.0,923.0,Naive,store_id,0
2026-04-26,1120.0,923.0,Naive,store_id,0
2026-04-27,929.0,923.0,Naive,store_id,0
2026-04-28,955.0,923.0,Naive,store_id,0
2026-04-29,863.0,923.0,Naive,store_id,0
2026-04-30,985.0,923.0,Naive,store_id,0
2026-04-17,818.0,1043.2857142857142,Moving average,store_id,0
2026-04-18,1263.0,1043.2857142857142,Moving average,store_id,0
2026-04-19,1199.0,1043.2857142857142,Moving average,store_id,0
2026-04-20,973.0,1043.2857142857142,Moving average,store_id,0
2026-04-21,941.0,1043.2857142857142,Moving average,store_id,0
2026-04-22,944.0,1043.2857142857142,Moving average,store_id,0
2026-04-23,960.0,1043.2857142857142,Moving average,store_id,0
2026-04-24,952.0,1043.2857142857142,Moving average,store_id,0
2026-04-25,1356.0,1043.2857142857142,Moving average,store_id,0
2026-04-26,1120.0,1043.2857142857142,Moving average,store_id,0
2026-04-27,929.0,1043.2857142857142,Moving average,store_id,0
2026-04-28,955.0,1043.2857142857142,Moving average,store_id,0
2026-04-29,863.0,1043.2857142857142,Moving average,store_id,0
2026-04-30,985.0,1043.2857142857142,Moving average,store_id,0
2026-04-17,818.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-18,1263.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-19,1199.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-20,973.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-21,941.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-22,944.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-23,960.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-24,952.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-25,1356.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-26,1120.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-27,929.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-28,955.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-29,863.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-30,985.0,981.4296837451669,Exponential smoothing,store_id,0
2026-04-17,818.0,948.0,Seasonal naive,store_id,0
2026-04-18,1263.0,1353.0,Seasonal naive,store_id,0
2026-04-19,1199.0,1219.0,Seasonal naive,store_id,0
2026-04-20,973.0,958.0,Seasonal naive,store_id,0
2026-04-21,941.0,976.0,Seasonal naive,store_id,0
2026-04-22,944.0,926.0,Seasonal naive,store_id,0
2026-04-23,960.0,923.0,Seasonal naive,store_id,0
2026-04-24,952.0,948.0,Seasonal naive,store_id,0
2026-04-25,1356.0,1353.0,Seasonal naive,store_id,0
2026-04-26,1120.0,1219.0,Seasonal naive,store_id,0
2026-04-27,929.0,958.0,Seasonal naive,store_id,0
2026-04-28,955.0,976.0,Seasonal naive,store_id,0
2026-04-29,863.0,926.0,Seasonal naive,store_id,0
2026-04-30,985.0,923.0,Seasonal naive,store_id,0
2026-04-17,1023.0,923.0,Naive,store_id,1
2026-04-18,1289.0,923.0,Naive,store_id,1
2026-04-19,1215.0,923.0,Naive,store_id,1
2026-04-20,950.0,923.0,Naive,store_id,1
2026-04-21,917.0,923.0,Naive,store_id,1
2026-04-22,863.0,923.0,Naive,store_id,1
2026-04-23,1033.0,923.0,Naive,store_id,1
2026-04-24,935.0,923.0,Naive,store_id,1
2026-04-25,1269.0,923.0,Naive,store_id,1
2026-04-26,1057.0,923.0,Naive,store_id,1
2026-04-27,938.0,923.0,Naive,store_id,1
2026-04-28,912.0,923.0,Naive,store_id,1
2026-04-29,865.0,923.0,Naive,store_id,1
2026-04-30,906.0,923.0,Naive,store_id,1
2026-04-17,1023.0,1034.7142857142858,Moving average,store_id,1
2026-04-18,1289.0,1034.7142857142858,Moving average,store_id,1
2026-04-19,1215.0,1034.7142857142858,Moving average,store_id,1
2026-04-20,950.0,1034.7142857142858,Moving average,store_id,1
2026-04-21,917.0,1034.7142857142858,Moving average,store_id,1
2026-04-22,863.0,1034.7142857142858,Moving average,store_id,1
2026-04-23,1033.0,1034.7142857142858,Moving average,store_id,1
2026-04-24,935.0,1034.7142857142858,Moving average,store_id,1
2026-04-25,1269.0,1034.7142857142858,Moving average,store_id,1
2026-04-26,1057.0,1034.7142857142858,Moving average,store_id,1
2026-04-27,938.0,1034.7142857142858,Moving average,store_id,1
2026-04-28,912.0,1034.7142857142858,Moving average,store_id,1
2026-04-29,865.0,1034.7142857142858,Moving average,store_id,1
2026-04-30,906.0,1034.7142857142858,Moving average,store_id,1
2026-04-17,1023.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-18,1289.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-19,1215.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-20,950.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-21,917.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-22,863.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-23,1033.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-24,935.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-25,1269.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-26,1057.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-27,938.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-28,912.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-29,865.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-30,906.0,986.3298827652546,Exponential smoothing,store_id,1
2026-04-17,1023.0,933.0,Seasonal naive,store_id,1
2026-04-18,1289.0,1246.0,Seasonal naive,store_id,1
2026-04-19,1215.0,1245.0,Seasonal naive,store_id,1
2026-04-20,950.0,925.0,Seasonal naive,store_id,1
2026-04-21,917.0,958.0,Seasonal naive,store_id,1
2026-04-22,863.0,1013.0,Seasonal naive,store_id,1
2026-04-23,1033.0,923.0,Seasonal naive,store_id,1
2026-04-24,935.0,933.0,Seasonal naive,store_id,1
2026-04-25,1269.0,1246.0,Seasonal naive,store_id,1
2026-04-26,1057.0,1245.0,Seasonal naive,store_id,1
2026-04-27,938.0,925.0,Seasonal naive,store_id,1
2026-04-28,912.0,958.0,Seasonal naive,store_id,1
2026-04-29,865.0,1013.0,Seasonal naive,store_id,1
2026-04-30,906.0,923.0,Seasonal naive,store_id,1
2026-04-17,994.0,863.0,Naive,store_id,2
2026-04-18,1215.0,863.0,Naive,store_id,2
2026-04-19,1199.0,863.0,Naive,store_id,2
2026-04-20,882.0,863.0,Naive,store_id,2
2026-04-21,893.0,863.0,Naive,store_id,2
2026-04-22,951.0,863.0,Naive,store_id,2
2026-04-23,884.0,863.0,Naive,store_id,2
2026-04-24,991.0,863.0,Naive,store_id,2
2026-04-25,1226.0,863.0,Naive,store_id,2
2026-04-26,1205.0,863.0,Naive,store_id,2
2026-04-27,896.0,863.0,Naive,store_id,2
2026-04-28,877.0,863.0,Naive,store_id,2
2026-04-29,928.0,863.0,Naive,store_id,2
2026-04-30,850.0,863.0,Naive,store_id,2
2026-04-17,994.0,1003.7142857142857,Moving average,store_id,2
2026-04-18,1215.0,1003.7142857142857,Moving average,store_id,2
2026-04-19,1199.0,1003.7142857142857,Moving average,store_id,2
2026-04-20,882.0,1003.7142857142857,Moving average,store_id,2
2026-04-21,893.0,1003.7142857142857,Moving average,store_id,2
2026-04-22,951.0,1003.7142857142857,Moving average,store_id,2
2026-04-23,884.0,1003.7142857142857,Moving average,store_id,2
2026-04-24,991.0,1003.7142857142857,Moving average,store_id,2
2026-04-25,1226.0,1003.7142857142857,Moving average,store_id,2
2026-04-26,1205.0,1003.7142857142857,Moving average,store_id,2
2026-04-27,896.0,1003.7142857142857,Moving average,store_id,2
2026-04-28,877.0,1003.7142857142857,Moving average,store_id,2
2026-04-29,928.0,1003.7142857142857,Moving average,store_id,2
2026-04-30,850.0,1003.7142857142857,Moving average,store_id,2
2026-04-17,994.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-18,1215.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-19,1199.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-20,882.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-21,893.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-22,951.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-23,884.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-24,991.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-25,1226.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-26,1205.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-27,896.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-28,877.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-29,928.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-30,850.0,946.3246628546259,Exponential smoothing,store_id,2
2026-04-17,994.0,963.0,Seasonal naive,store_id,2
2026-04-18,1215.0,1194.0,Seasonal naive,store_id,2
2026-04-19,1199.0,1209.0,Seasonal naive,store_id,2
2026-04-20,882.0,917.0,Seasonal naive,store_id,2
2026-04-21,893.0,960.0,Seasonal naive,store_id,2
2026-04-22,951.0,920.0,Seasonal naive,store_id,2
2026-04-23,884.0,863.0,Seasonal naive,store_id,2
2026-04-24,991.0,963.0,Seasonal naive,store_id,2
2026-04-25,1226.0,1194.0,Seasonal naive,store_id,2
2026-04-26,1205.0,1209.0,Seasonal naive,store_id,2
2026-04-27,896.0,917.0,Seasonal naive,store_id,2
2026-04-28,877.0,960.0,Seasonal naive,store_id,2
2026-04-29,928.0,920.0,Seasonal naive,store_id,2
2026-04-30,850.0,863.0,Seasonal naive,store_id,2
2026-04-17,867.0,866.0,Naive,store_id,3
2026-04-18,1231.0,866.0,Naive,store_id,3
2026-04-19,1095.0,866.0,Naive,store_id,3
2026-04-20,940.0,866.0,Naive,store_id,3
2026-04-21,874.0,866.0,Naive,store_id,3
2026-04-22,929.0,866.0,Naive,store_id,3
2026-04-23,905.0,866.0,Naive,store_id,3
2026-04-24,937.0,866.0,Naive,store_id,3
2026-04-25,1309.0,866.0,Naive,store_id,3
2026-04-26,1187.0,866.0,Naive,store_id,3
2026-04-27,1000.0,866.0,Naive,store_id,3
2026-04-28,964.0,866.0,Naive,store_id,3
2026-04-29,1009.0,866.0,Naive,store_id,3
2026-04-30,862.0,866.0,Naive,store_id,3
2026-04-17,867.0,1027.857142857143,Moving average,store_id,3
2026-04-18,1231.0,1027.857142857143,Moving average,store_id,3
2026-04-19,1095.0,1027.857142857143,Moving average,store_id,3
2026-04-20,940.0,1027.857142857143,Moving average,store_id,3
2026-04-21,874.0,1027.857142857143,Moving average,store_id,3
2026-04-22,929.0,1027.857142857143,Moving average,store_id,3
2026-04-23,905.0,1027.857142857143,Moving average,store_id,3
2026-04-24,937.0,1027.857142857143,Moving average,store_id,3
2026-04-25,1309.0,1027.857142857143,Moving average,store_id,3
2026-04-26,1187.0,1027.857142857143,Moving average,store_id,3
2026-04-27,1000.0,1027.857142857143,Moving average,store_id,3
2026-04-28,964.0,1027.857142857143,Moving average,store_id,3
2026-04-29,1009.0,1027.857142857143,Moving average,store_id,3
2026-04-30,862.0,1027.857142857143,Moving average,store_id,3
2026-04-17,867.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-18,1231.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-19,1095.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-20,940.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-21,874.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-22,929.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-23,905.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-24,937.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-25,1309.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-26,1187.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-27,1000.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-28,964.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-29,1009.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-30,862.0,967.7071118739104,Exponential smoothing,store_id,3
2026-04-17,867.0,905.0,Seasonal naive,store_id,3
2026-04-18,1231.0,1239.0,Seasonal naive,store_id,3
2026-04-19,1095.0,1373.0,Seasonal naive,store_id,3
2026-04-20,940.0,868.0,Seasonal naive,store_id,3
2026-04-21,874.0,964.0,Seasonal naive,store_id,3
2026-04-22,929.0,980.0,Seasonal naive,store_id,3
2026-04-23,905.0,866.0,Seasonal naive,store_id,3
2026-04-24,937.0,905.0,Seasonal naive,store_id,3
2026-04-25,1309.0,1239.0,Seasonal naive,store_id,3
2026-04-26,1187.0,1373.0,Seasonal naive,store_id,3
2026-04-27,1000.0,868.0,Seasonal naive,store_id,3
2026-04-28,964.0,964.0,Seasonal naive,store_id,3
2026-04-29,1009.0,980.0,Seasonal naive,store_id,3
2026-04-30,862.0,866.0,Seasonal naive,store_id,3
2026-04-17,986.0,984.0,Naive,store_id,4
2026-04-18,1134.0,984.0,Naive,store_id,4
2026-04-19,1266.0,984.0,Naive,store_id,4
2026-04-20,954.0,984.0,Naive,store_id,4
2026-04-21,989.0,984.0,Naive,store_id,4
2026-04-22,831.0,984.0,Naive,store_id,4
2026-04-23,1042.0,984.0,Naive,store_id,4
2026-04-24,1029.0,984.0,Naive,store_id,4
2026-04-25,1243.0,984.0,Naive,store_id,4
2026-04-26,1380.0,984.0,Naive,store_id,4
2026-04-27,987.0,984.0,Naive,store_id,4
2026-04-28,840.0,984.0,Naive,store_id,4
2026-04-29,968.0,984.0,Naive,store_id,4
2026-04-30,1026.0,984.0,Naive,store_id,4
2026-04-17,986.0,974.7142857142857,Moving average,store_id,4
2026-04-18,1134.0,974.7142857142857,Moving average,store_id,4
2026-04-19,1266.0,974.7142857142857,Moving average,store_id,4
2026-04-20,954.0,974.7142857142857,Moving average,store_id,4
2026-04-21,989.0,974.7142857142857,Moving average,store_id,4
2026-04-22,831.0,974.7142857142857,Moving average,store_id,4
2026-04-23,1042.0,974.7142857142857,Moving average,store_id,4
2026-04-24,1029.0,974.7142857142857,Moving average,store_id,4
2026-04-25,1243.0,974.7142857142857,Moving average,store_id,4
2026-04-26,1380.0,974.7142857142857,Moving average,store_id,4
2026-04-27,987.0,974.7142857142857,Moving average,store_id,4
2026-04-28,840.0,974.7142857142857,Moving average,store_id,4
2026-04-29,968.0,974.7142857142857,Moving average,store_id,4
2026-04-30,1026.0,974.7142857142857,Moving average,store_id,4
2026-04-17,986.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-18,1134.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-19,1266.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-20,954.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-21,989.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-22,831.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-23,1042.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-24,1029.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-25,1243.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-26,1380.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-27,987.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-28,840.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-29,968.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-30,1026.0,955.4725604551468,Exponential smoothing,store_id,4
2026-04-17,986.0,846.0,Seasonal naive,store_id,4
2026-04-18,1134.0,1217.0,Seasonal naive,store_id,4
2026-04-19,1266.0,1173.0,Seasonal naive,store_id,4
2026-04-20,954.0,835.0,Seasonal naive,store_id,4
2026-04-21,989.0,841.0,Seasonal naive,store_id,4
2026-04-22,831.0,927.0,Seasonal naive,store_id,4
2026-04-23,1042.0,984.0,Seasonal naive,store_id,4
2026-04-24,1029.0,846.0,Seasonal naive,store_id,4
2026-04-25,1243.0,1217.0,Seasonal naive,store_id,4
2026-04-26,1380.0,1173.0,Seasonal naive,store_id,4
2026-04-27,987.0,835.0,Seasonal naive,store_id,4
2026-04-28,840.0,841.0,Seasonal naive,store_id,4
2026-04-29,968.0,927.0,Seasonal naive,store_id,4
2026-04-30,1026.0,984.0,Seasonal naive,store_id,4
2026-04-17,902.0,948.0,Naive,store_id,5
2026-04-18,1012.0,948.0,Naive,store_id,5
2026-04-19,1179.0,948.0,Naive,store_id,5
2026-04-20,970.0,948.0,Naive,store_id,5
2026-04-21,867.0,948.0,Naive,store_id,5
2026-04-22,944.0,948.0,Naive,store_id,5
2026-04-23,921.0,948.0,Naive,store_id,5
2026-04-24,962.0,948.0,Naive,store_id,5
2026-04-25,1133.0,948.0,Naive,store_id,5
2026-04-26,1253.0,948.0,Naive,store_id,5
2026-04-27,915.0,948.0,Naive,store_id,5
2026-04-28,933.0,948.0,Naive,store_id,5
2026-04-29,925.0,948.0,Naive,store_id,5
2026-04-30,997.0,948.0,Naive,store_id,5
2026-04-17,902.0,1019.2857142857143,Moving average,store_id,5
2026-04-18,1012.0,1019.2857142857143,Moving average,store_id,5
2026-04-19,1179.0,1019.2857142857143,Moving average,store_id,5
2026-04-20,970.0,1019.2857142857143,Moving average,store_id,5
2026-04-21,867.0,1019.2857142857143,Moving average,store_id,5
2026-04-22,944.0,1019.2857142857143,Moving average,store_id,5
2026-04-23,921.0,1019.2857142857143,Moving average,store_id,5
2026-04-24,962.0,1019.2857142857143,Moving average,store_id,5
2026-04-25,1133.0,1019.2857142857143,Moving average,store_id,5
2026-04-26,1253.0,1019.2857142857143,Moving average,store_id,5
2026-04-27,915.0,1019.2857142857143,Moving average,store_id,5
2026-04-28,933.0,1019.2857142857143,Moving average,store_id,5
2026-04-29,925.0,1019.2857142857143,Moving average,store_id,5
2026-04-30,997.0,1019.2857142857143,Moving average,store_id,5
2026-04-17,902.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-18,1012.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-19,1179.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-20,970.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-21,867.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-22,944.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-23,921.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-24,962.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-25,1133.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-26,1253.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-27,915.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-28,933.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-29,925.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-30,997.0,982.405003677585,Exponential smoothing,store_id,5
2026-04-17,902.0,1009.0,Seasonal naive,store_id,5
2026-04-18,1012.0,1202.0,Seasonal naive,store_id,5
2026-04-19,1179.0,1105.0,Seasonal naive,store_id,5
2026-04-20,970.0,951.0,Seasonal naive,store_id,5
2026-04-21,867.0,930.0,Seasonal naive,store_id,5
2026-04-22,944.0,990.0,Seasonal naive,store_id,5
2026-04-23,921.0,948.0,Seasonal naive,store_id,5
2026-04-24,962.0,1009.0,Seasonal naive,store_id,5
2026-04-25,1133.0,1202.0,Seasonal naive,store_id,5
2026-04-26,1253.0,1105.0,Seasonal naive,store_id,5
2026-04-27,915.0,951.0,Seasonal naive,store_id,5
2026-04-28,933.0,930.0,Seasonal naive,store_id,5
2026-04-29,925.0,990.0,Seasonal naive,store_id,5
2026-04-30,997.0,948.0,Seasonal naive,store_id,5
2026-04-17,931.0,947.0,Naive,store_id,6
2026-04-18,1137.0,947.0,Naive,store_id,6
2026-04-19,1164.0,947.0,Naive,store_id,6
2026-04-20,831.0,947.0,Naive,store_id,6
2026-04-21,866.0,947.0,Naive,store_id,6
2026-04-22,934.0,947.0,Naive,store_id,6
2026-04-23,925.0,947.0,Naive,store_id,6
2026-04-24,927.0,947.0,Naive,store_id,6
2026-04-25,1187.0,947.0,Naive,store_id,6
2026-04-26,1271.0,947.0,Naive,store_id,6
2026-04-27,1020.0,947.0,Naive,store_id,6
2026-04-28,971.0,947.0,Naive,store_id,6
2026-04-29,842.0,947.0,Naive,store_id,6
2026-04-30,953.0,947.0,Naive,store_id,6
2026-04-17,931.0,1006.0,Moving average,store_id,6
2026-04-18,1137.0,1006.0,Moving average,store_id,6
2026-04-19,1164.0,1006.0,Moving average,store_id,6
2026-04-20,831.0,1006.0,Moving average,store_id,6
2026-04-21,866.0,1006.0,Moving average,store_id,6
2026-04-22,934.0,1006.0,Moving average,store_id,6
2026-04-23,925.0,1006.0,Moving average,store_id,6
2026-04-24,927.0,1006.0,Moving average,store_id,6
2026-04-25,1187.0,1006.0,Moving average,store_id,6
2026-04-26,1271.0,1006.0,Moving average,store_id,6
2026-04-27,1020.0,1006.0,Moving average,store_id,6
2026-04-28,971.0,1006.0,Moving average,store_id,6
2026-04-29,842.0,1006.0,Moving average,store_id,6
2026-04-30,953.0,1006.0,Moving average,store_id,6
2026-04-17,931.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-18,1137.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-19,1164.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-20,831.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-21,866.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-22,934.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-23,925.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-24,927.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-25,1187.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-26,1271.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-27,1020.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-28,971.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-29,842.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-30,953.0,968.4735094171858,Exponential smoothing,store_id,6
2026-04-17,931.0,886.0,Seasonal naive,store_id,6
2026-04-18,1137.0,1199.0,Seasonal naive,store_id,6
2026-04-19,1164.0,1194.0,Seasonal naive,store_id,6
2026-04-20,831.0,935.0,Seasonal naive,store_id,6
2026-04-21,866.0,1011.0,Seasonal naive,store_id,6
2026-04-22,934.0,870.0,Seasonal naive,store_id,6
2026-04-23,925.0,947.0,Seasonal naive,store_id,6
2026-04-24,927.0,886.0,Seasonal naive,store_id,6
2026-04-25,1187.0,1199.0,Seasonal naive,store_id,6
2026-04-26,1271.0,1194.0,Seasonal naive,store_id,6
2026-04-27,1020.0,935.0,Seasonal naive,store_id,6
2026-04-28,971.0,1011.0,Seasonal naive,store_id,6
2026-04-29,842.0,870.0,Seasonal naive,store_id,6
2026-04-30,953.0,947.0,Seasonal naive,store_id,6
2026-04-17,891.0,942.0,Naive,store_id,7
2026-04-18,1197.0,942.0,Naive,store_id,7
2026-04-19,1211.0,942.0,Naive,store_id,7
2026-04-20,923.0,942.0,Naive,store_id,7
2026-04-21,906.0,942.0,Naive,store_id,7
2026-04-22,945.0,942.0,Naive,store_id,7
2026-04-23,980.0,942.0,Naive,store_id,7
2026-04-24,962.0,942.0,Naive,store_id,7
2026-04-25,1212.0,942.0,Naive,store_id,7
2026-04-26,1134.0,942.0,Naive,store_id,7
2026-04-27,965.0,942.0,Naive,store_id,7
2026-04-28,983.0,942.0,Naive,store_id,7
2026-04-29,849.0,942.0,Naive,store_id,7
2026-04-30,994.0,942.0,Naive,store_id,7
2026-04-17,891.0,980.5714285714286,Moving average,store_id,7
2026-04-18,1197.0,980.5714285714286,Moving average,store_id,7
2026-04-19,1211.0,980.5714285714286,Moving average,store_id,7
2026-04-20,923.0,980.5714285714286,Moving average,store_id,7
2026-04-21,906.0,980.5714285714286,Moving average,store_id,7
2026-04-22,945.0,980.5714285714286,Moving average,store_id,7
2026-04-23,980.0,980.5714285714286,Moving average,store_id,7
