date,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,variable_cost_inr,contribution_profit_inr,quantity_ordered,quantity_fulfilled,quantity_unfulfilled,quantity_substituted,estimated_lost_revenue_inr,estimated_lost_margin_inr,orders,period_days,delivery_cost_inr,fill_rate,substitution_rate,cancellation_rate,order_fulfillment_rate,item_fulfillment_rate,gross_margin,contribution_margin,aov_inr,profit_per_order_inr,profit_per_item_inr,recovery_opportunity_inr
2026-01-11,2311068.87,145039.85,2166029.02,1475186.25,690842.77,134615.27000000002,556227.5,8445.0,8427.0,18.0,12.0,2027.62,532.3600000000001,2806,1,83779.75,0.9978685612788633,0.0014209591474245115,0.0,1.0,0.9978848768696178,0.3189443740693742,0.2567959592711274,771.9276621525303,198.22790449037777,66.00539931173608,1317.953
2026-01-12,1627834.1700000002,103779.47,1524054.7,1039854.7699999999,484199.93000000005,97755.25,386444.68000000005,6067.0,6060.0,7.0,6.0,682.5699999999999,201.03000000000003,2041,1,61305.420000000006,0.9988462172408109,0.0009889566507334763,0.0009799118079372856,0.9990200881920627,0.9987355110642782,0.31770508630694166,0.2535635236714273,746.7195982361587,189.34085252327293,63.7697491749175,443.67049999999995
2026-01-13,1657813.22,100134.23,1557678.9900000002,1057640.48,500038.51000000007,99803.57,400234.94000000006,6162.0,6138.0,24.0,14.0,6420.32,2448.58,2090,1,62514.53,0.9961051606621227,0.0022719896137617657,0.0,1.0,0.9967051070840197,0.3210151213505165,0.2569431459045358,745.3009521531102,191.49997129186605,65.2060834147931,4173.208
2026-01-14,1769992.13,115729.88,1654262.25,1123021.53,531240.72,103850.88,427389.84,6500.0,6450.0,50.0,47.0,20770.71,6309.299999999999,2146,1,64916.38,0.9923076923076923,0.007230769230769231,0.0009319664492078285,0.9990680335507922,0.9920870425321464,0.3211345238640367,0.2583567629618581,770.8584575955266,199.15649580615099,66.26199069767442,13500.9615
2026-01-15,1764948.76,108634.72,1656314.04,1117654.4499999997,538659.5900000001,102937.54000000001,435722.05000000005,6441.0,6343.0,98.0,27.0,30973.229999999996,10603.62,2139,1,63963.770000000004,0.9847849712777519,0.004191895668374476,0.0032725572697522207,0.9967274427302478,0.9857904085257548,0.3252158570122367,0.263067292480356,774.3403646563816,203.70362318840583,68.6933706448053,20132.599499999997
2026-01-16,1805418.2999999998,116474.31999999999,1688943.98,1155261.3,533682.6800000002,106128.57999999999,427554.10000000003,6619.0,6537.0,82.0,75.0,20002.26,7722.51,2211,1,66382.48999999999,0.987611421664904,0.01133101676990482,0.005427408412483039,0.994572591587517,0.9880007741436037,0.31598601630351303,0.25314877524830637,763.8823971053822,193.3758932609679,65.40524705522411,13001.469
2026-01-17,2366451.59,147080.18,2219371.41,1496168.0899999999,723203.32,137825.37,585377.9500000001,8660.0,8641.0,19.0,9.0,6024.99,1972.21,2865,1,86036.09000000001,0.9978060046189376,0.0010392609699769054,0.0013961605584642235,0.9986038394415357,0.9976366322008863,0.3258595279462485,0.2637584441082802,774.6497068062828,204.32040139616058,67.74423677815068,3916.2435
2026-01-18,2340735.99,149994.35,2190741.6399999997,1485180.22,705561.42,136796.84,568764.5800000001,8535.0,8521.0,14.0,21.0,4259.35,1462.7,2839,1,85265.23000000001,0.9983596953719976,0.002460456942003515,0.0007044734061289186,0.9992955265938711,0.9980436418359669,0.3220650975529913,0.2596219333284778,771.6596125396266,200.33976047904196,66.7485717638775,2768.5775000000003
2026-01-19,1731747.88,99345.70999999999,1632402.17,1097647.79,534754.3800000001,101183.22,433571.1600000001,6277.0,6257.0,20.0,10.0,6686.05,2492.0800000000004,2111,1,63311.299999999996,0.9968137645371993,0.0015931177314003505,0.0,1.0,0.9965348552792499,0.32758739839215,0.26560315096861215,773.2838323069635,205.3866224538134,69.29377657024135,4345.9325
2026-01-20,1731526.12,105967.77,1625558.35,1094988.6099999999,530569.74,100026.82,430542.92000000004,6220.0,6149.0,71.0,41.0,24005.61,9228.779999999999,2098,1,62726.37,0.9885852090032154,0.006591639871382637,0.0014299332697807435,0.9985700667302193,0.989311408016444,0.3263923069879343,0.2648584838557164,774.8133222116302,205.21588179218304,70.01836396161978,15603.6465
2026-01-21,1773298.02,119683.01000000001,1653615.0099999998,1122278.37,531336.64,103029.20999999999,428307.43,6508.0,6481.0,27.0,27.0,8177.960000000001,1890.2799999999997,2130,1,63962.53,0.9958512599877074,0.004148740012292563,0.0009389671361502347,0.9990610328638497,0.9958563535911602,0.32131822509279234,0.2590127855697198,776.3450751173708,201.08330046948356,66.08662706372473,5315.674000000001
2026-01-22,1766683.89,121635.77,1645048.1199999999,1114150.3399999999,530897.78,103363.6,427534.18000000005,6440.0,6413.0,27.0,13.0,11591.5,4452.4400000000005,2140,1,64391.990000000005,0.9958074534161491,0.002018633540372671,0.00046728971962616824,0.9995327102803738,0.9964207595943527,0.32272477233067204,0.259891595146773,768.7140747663551,199.78232710280375,66.66679869016062,7534.475
2026-01-23,1798834.54,113970.88,1684863.6600000001,1133077.6099999999,551786.05,101590.03,450196.02,6441.0,6407.0,34.0,19.0,14469.399999999998,5562.650000000001,2114,1,63353.450000000004,0.9947213165657507,0.0029498525073746312,0.0004730368968779565,0.9995269631031221,0.99460647223332,0.3274959648663798,0.2672002671124143,797.0026773888364,212.95932828760644,70.26627438738879,9405.109999999999
2026-01-24,2340985.89,150749.76,2190236.13,1471189.3900000001,719046.74,138063.14,580983.6000000001,8604.0,8520.0,84.0,55.0,33650.37,11509.02,2878,1,86620.57999999999,0.9902370990237099,0.0063923756392375635,0.001389854065323141,0.9986101459346769,0.9911163754811964,0.3282964471963121,0.2652607141495744,761.0271473245309,201.87060458651845,68.1905633802817,21872.740500000004
2026-01-25,2485305.88,151733.93,2333571.95,1561068.1600000001,772503.7900000002,142208.82,630294.9700000001,8873.0,8811.0,62.0,63.0,6899.950000000001,1494.77,2942,1,88375.08,0.9930125098613772,0.007100191592471543,0.0020394289598912306,0.9979605710401088,0.9935279735366029,0.3310391993698759,0.27009879425401906,793.1923691366418,214.24030251529575,71.53500964703213,4484.967500000001
2026-01-26,1761917.2899999998,110998.27,1650919.02,1109993.21,540925.81,104101.79000000001,436824.02,6427.0,6407.0,20.0,20.0,7499.28,2507.8100000000004,2160,1,64669.560000000005,0.9968881282091178,0.0031118717908822156,0.000462962962962963,0.999537037037037,0.9964071856287425,0.3276513284097969,0.26459445600184556,764.3143611111111,202.2333425925926,68.17918214452942,4874.532
2026-01-27,1877304.02,116494.63,1760809.39,1179272.5100000002,581536.88,107819.87,473717.01,6692.0,6676.0,16.0,18.0,2967.95,1027.2,2223,1,67081.08000000002,0.9976090854751942,0.0026897788404064557,0.001349527665317139,0.9986504723346828,0.9975129137172374,0.3302667984977068,0.2690336686584799,792.0869950517318,213.0980701754386,70.95821000599162,1929.1675
2026-01-28,1734782.43,97629.34999999999,1637153.08,1088866.69,548286.39,100161.84999999999,448124.54000000004,6243.0,6237.0,6.0,21.0,1212.16,367.29999999999995,2088,1,62702.9,0.9990389235944258,0.003363767419509851,0.0,1.0,0.9991745769706974,0.3349023354615074,0.2737218318032911,784.0771455938698,214.61903256704983,71.84937309603977,787.9040000000001
2026-01-29,1798345.7,115901.47,1682444.23,1135548.5500000003,546895.68,104055.97,442839.7100000001,6524.0,6508.0,16.0,5.0,3325.9199999999996,1377.1799999999998,2179,1,64881.83,0.9975475168608215,0.0007664009809932557,0.0,1.0,0.9978669769245685,0.3250602131400219,0.2632121184783641,772.1175906379073,203.23070674621388,68.04543792255687,2161.848
2026-01-30,1869986.1199999999,109999.38999999998,1759986.73,1177820.33,582166.4,107874.81,474291.59,6647.0,6639.0,8.0,9.0,2965.5699999999997,984.14,2228,1,66957.63999999998,0.998796449526102,0.001353994283135249,0.0004488330341113106,0.9995511669658886,0.9986455108359134,0.3307788576337732,0.2694858898169079,789.9401840215439,212.87773339317775,71.44021539388463,1927.6204999999998
2026-01-31,2401533.8899999997,155713.43,2245820.46,1507395.23,738425.23,139175.66,599249.57,8614.0,8600.0,14.0,17.0,4235.76,1477.5,2897,1,86973.54999999999,0.9983747387973068,0.0019735314604132806,0.0,1.0,0.9982158786797503,0.32879976077874007,0.26682879627875505,775.2228028995512,206.85176734552985,69.68018255813953,2753.244
2026-02-01,2448822.62,154749.04,2294073.58,1534783.98,759289.6000000001,140967.4,618322.2,8740.0,8717.0,23.0,19.0,4554.510000000001,1622.5,2917,1,87654.35,0.9973684210526316,0.002173913043478261,0.0010284538909838875,0.9989715461090161,0.997076878105817,0.330978747420996,0.26953023886879857,786.4496331847789,211.9719574905725,70.93291269932315,2960.431500000001
2026-02-02,1919434.94,118264.26,1801170.68,1199508.78,601661.9000000001,111135.08,490526.82000000007,6822.0,6799.0,23.0,9.0,9281.75,3550.1799999999994,2300,1,68822.91,0.996628554676048,0.0013192612137203166,0.0008695652173913044,0.9991304347826087,0.9968128983877015,0.33403935933489665,0.2723377775614247,783.1176869565218,213.27253043478262,72.14690689807325,6033.1375
2026-02-03,1788233.0899999999,111355.39,1676877.7,1118598.5,558279.2,104081.54,454197.66,6422.0,6417.0,5.0,3.0,2033.85,879.5999999999999,2156,1,65050.90000000001,0.9992214263469325,0.0004671441918405481,0.0,1.0,0.9994054696789536,0.3329277978948614,0.27085914494539465,777.7725881261596,210.66681818181817,70.78037400654512,1322.0025
2026-02-04,1784997.77,115629.75,1669368.02,1128532.4700000002,540835.55,102463.95999999999,438371.5900000001,6403.0,6400.0,3.0,14.0,849.2,361.85,2125,1,63923.950000000004,0.9995314696236139,0.0021864750898016555,0.0,1.0,0.9994033412887828,0.3239762254460823,0.2625973330913576,785.5849505882353,206.2925129411765,68.49556093750002,551.98
2026-02-05,1864501.86,120156.00000000001,1744345.8599999999,1173164.1600000001,571181.7000000001,107439.95000000001,463741.75,6656.0,6647.0,9.0,13.0,3051.21,1176.21,2229,1,66898.63,0.9986478365384616,0.001953125,0.0,1.0,0.9986653956148713,0.3274475051639129,0.26585424406602487,782.568802153432,208.04923732615524,69.76707537234843,1983.2865000000002
2026-02-06,1876940.58,116975.44,1759965.1400000001,1180100.17,579864.97,105730.75,474134.22000000003,6585.0,6584.0,1.0,0.0,575.7,229.14,2194,1,65592.73000000001,0.9998481397114655,0.0,0.0,1.0,0.9998040368410739,0.3294752588110921,0.2693997791342617,802.1718960802189,216.1049316317229,72.01309538274606,374.20500000000004
2026-02-07,2428915.01,152420.16,2276494.85,1520014.75,756480.1,139742.65000000002,616737.45,8681.0,8658.0,23.0,19.0,6327.29,2159.9,2880,1,86929.64,0.9973505356525746,0.002188687939177514,0.00034722222222222224,0.9996527777777777,0.9967565973757925,0.33230037836457216,0.2709153723760895,790.4496006944445,214.14494791666664,71.2332467082467,4112.7385
2026-02-08,2427768.83,161934.43,2265834.4000000004,1525280.48,740553.92,140489.41999999998,600064.5,8710.0,8555.0,155.0,119.0,17591.32,6331.09,2964,1,88216.43,0.9822043628013777,0.013662456946039035,0.0033738191632928477,0.9966261808367072,0.9821793748174116,0.3268349708169317,0.26483157815946295,764.4515519568153,202.4509109311741,70.14196376388077,11434.358
2026-02-09,1818579.29,105686.23999999999,1712893.0499999998,1146954.99,565938.06,106962.73000000001,458975.3300000001,6648.0,6615.0,33.0,9.0,10042.93,3848.13,2221,1,66150.51000000001,0.9950361010830325,0.0013537906137184115,0.0009004952723998199,0.9990995047276002,0.9950513894175866,0.33039894697453537,0.2679532910709166,771.2260468257541,206.65255740657364,69.38402569916856,6527.904500000001
2026-02-10,1849904.79,120441.33,1729463.46,1165624.2,563839.26,106814.09999999999,457025.16000000003,6596.0,6570.0,26.0,26.0,6032.71,2195.69,2211,1,66556.19,0.9960582171012735,0.003941782898726501,0.0013568521031207597,0.9986431478968792,0.9957413859852884,0.32601975875223177,0.2642583498121435,782.208710990502,206.70518317503394,69.5624292237443,3921.2615
2026-02-11,1789452.2799999998,114669.11,1674783.17,1126644.86,548138.3099999999,104526.70999999999,443611.60000000003,6515.0,6489.0,26.0,12.0,8940.56,3561.18,2177,1,65459.67,0.9960092095165004,0.001841903300076746,0.00045934772622875517,0.9995406522737712,0.9964454976303317,0.3272891200596433,0.26487703479848085,769.3078410656867,203.77197978870007,68.36363075974727,5811.364
2026-02-12,1803850.84,114243.25,1689607.5900000003,1138757.04,550850.55,105555.78,445294.77,6506.0,6496.0,10.0,3.0,7424.3099999999995,3063.8099999999995,2190,1,65973.66,0.9984629572702121,0.00046111281893636643,0.0,1.0,0.9988262910798122,0.3260227719502609,0.26354922446815,771.5103150684932,203.33094520547945,68.5490717364532,4825.8015
2026-02-13,1859568.3399999999,119174.91,1740393.43,1170439.1400000001,569954.29,108723.6,461230.69,6797.0,6788.0,9.0,10.0,4625.32,1846.2399999999998,2260,1,67848.38,0.9986758864204797,0.0014712373105781962,0.0004424778761061947,0.9995575221238938,0.9986928104575163,0.3274858892106942,0.26501518682473996,770.0855884955752,204.0843761061947,67.9479507955215,3006.458
2026-02-14,2450856.12,149706.41999999998,2301149.7,1545624.02,755525.6799999999,142285.44999999998,613240.23,8879.0,8855.0,24.0,5.0,7408.72,2742.07,2956,1,88928.73000000001,0.9972969929046064,0.0005631264782070053,0.0,1.0,0.9968267705178133,0.32832530625886697,0.26649297522886056,778.4674221921516,207.456099458728,69.253555053642,4815.668000000001
2026-02-15,2483931.56,154112.66999999998,2329818.89,1571074.05,758744.8400000001,142310.14,616434.7,8898.0,8866.0,32.0,28.0,8211.389999999998,3267.29,2958,1,88805.63,0.9964036862216228,0.003146774556080018,0.001352265043948614,0.9986477349560514,0.9964008062194069,0.32566687619225204,0.2645848150025086,787.6331609195403,208.39577417173766,69.52793819084141,5337.4034999999985
2026-02-16,1814485.79,108625.74,1705860.05,1150369.33,555490.7200000001,106387.14,449103.5800000001,6668.0,6638.0,30.0,19.0,15375.95,6597.4400000000005,2213,1,66767.98999999999,0.995500899820036,0.0028494301139772044,0.00045187528242205153,0.9995481247175779,0.9959388899632566,0.3256367484542475,0.2632710579041933,770.835991866245,202.93880704925445,67.65645977704129,9994.3675
2026-02-17,1876047.69,117209.48999999999,1758838.2000000002,1188912.7200000002,569925.48,109342.01000000001,460583.4700000001,6900.0,6885.0,15.0,13.0,5321.429999999999,1824.1200000000001,2294,1,68153.35,0.9978260869565218,0.0018840579710144927,0.0,1.0,0.9981525956031775,0.32403519550576054,0.26186801605741794,766.7123801220577,200.7774498692241,66.89665504720408,3458.9294999999997
2026-02-18,1819400.69,110312.79999999999,1709087.8900000001,1154730.23,554357.6599999999,105806.0,448551.66000000003,6487.0,6462.0,25.0,13.0,9511.61,3988.7499999999995,2207,1,66080.56,0.9961461384307075,0.002004008016032064,0.0,1.0,0.9966607739147515,0.3243587782954801,0.2624509029784302,774.3941504304486,203.24044404168555,69.41375116063139,6182.5465
2026-02-19,1788187.15,116282.69,1671904.46,1133035.72,538868.74,104984.13,433884.61,6544.0,6496.0,48.0,20.0,13998.09,4624.92,2170,1,65172.3,0.9926650366748166,0.003056234718826406,0.0009216589861751152,0.9990783410138249,0.9929851909586905,0.3223083333362243,0.2595151938287191,770.4628847926267,199.94682488479262,66.79258158866995,9098.7585
2026-02-20,1871231.3599999999,122066.99,1749164.3699999999,1195513.6300000001,553650.74,109174.43,444476.31000000006,6842.0,6815.0,27.0,17.0,9766.779999999999,3792.2400000000002,2258,1,67871.6,0.996053785442853,0.0024846536100555394,0.0008857395925597874,0.9991142604074402,0.996594778660613,0.31652299206163226,0.25410780005769273,774.6520682019486,196.84513286093892,65.22029493763758,6348.406999999999
2026-02-21,2439273.24,152691.86,2286581.38,1552422.6500000001,734158.73,144439.22,589719.51,9075.0,8979.0,96.0,86.0,5717.070000000001,1362.93,3005,1,90163.23999999999,0.9894214876033058,0.009476584022038567,0.002995008319467554,0.9970049916805325,0.9891058290888511,0.3210726442633763,0.25790444860527995,760.9255840266222,196.2460931780366,65.6776378215837,3716.0955000000004
2026-02-22,2482729.98,164163.06,2318566.92,1578126.6600000001,740440.26,144170.05,596270.21,9007.0,8830.0,177.0,46.0,16039.38,4405.719999999999,3016,1,89634.81,0.9803486177417564,0.00510713889197291,0.003978779840848806,0.9960212201591512,0.9806442497880757,0.3193525507557919,0.25717187839460764,768.7556100795756,197.70232427055703,67.52777010192526,10425.597
2026-02-23,1932444.12,114913.59,1817530.53,1236474.01,581056.52,113247.41,467809.1100000001,7098.0,7080.0,18.0,13.0,7072.75,2109.73,2348,1,70636.91,0.9974640743871513,0.0018315018315018315,0.0012776831345826234,0.9987223168654173,0.9972850678733032,0.31969560368265176,0.2573872087859785,774.0760349233391,199.23727001703583,66.07473305084747,4597.2875
2026-02-24,1890528.08,116478.14,1774049.94,1201700.1500000001,572349.79,109516.64000000001,462833.15,6852.0,6827.0,25.0,13.0,10133.88,2958.61,2272,1,68364.28,0.9963514302393461,0.0018972562755399883,0.0,1.0,0.9964372773298331,0.3226232684295235,0.26089071088945787,780.8318397887324,203.71177376760565,67.79451442800645,6587.022
2026-02-25,1776034.13,111900.56,1664133.5699999998,1134553.76,529579.81,105416.17000000001,424163.64,6562.0,6541.0,21.0,27.0,5966.52,2134.6200000000003,2186,1,65899.4,0.9967997561718989,0.004114599207558671,0.0004574565416285453,0.9995425434583715,0.9963063763608087,0.31823155277133197,0.25488557387854394,761.2687877401646,194.0364318389753,64.84691025837029,3878.2380000000003
2026-02-26,1912832.1999999997,121134.63,1791697.5699999998,1224799.58,566897.99,113148.59,453749.4,6996.0,6979.0,17.0,12.0,6773.95,2274.35,2338,1,70580.75,0.9975700400228702,0.0017152658662092624,0.0,1.0,0.9974424552429667,0.3164027230332182,0.2532511109003737,766.3377117194183,194.075876817793,65.01639203324258,4403.0675
2026-02-27,1840286.98,122135.92,1718151.06,1181567.7399999998,536583.3200000001,108509.41,428073.91000000003,6795.0,6785.0,10.0,8.0,3480.1800000000003,1191.16,2253,1,67472.12,0.9985283296541575,0.001177336276674025,0.000887705281846427,0.9991122947181535,0.9982986767485822,0.31230276108551247,0.24914800564741962,762.6058854860187,190.00173546382604,63.091217391304355,2262.117
2026-02-28,2427740.25,157394.47,2270345.7800000003,1557054.4100000001,713291.3700000001,143733.19,569558.18,8995.0,8968.0,27.0,8.0,13953.59,5451.97,2969,1,89749.43,0.9969983324068927,0.0008893829905503057,0.0010104412260020209,0.998989558773998,0.9970233876683203,0.31417741574149116,0.2508684734357953,764.6836577972382,191.83502189289325,63.510055753791264,9069.8335
2026-03-01,2491530.2,160430.68,2331099.52,1599766.49,731333.03,145267.09,586065.94,9117.0,9106.0,11.0,20.0,3297.37,1024.97,3019,1,90566.81,0.9987934627618734,0.0021937040693210488,0.0,1.0,0.9987332864180155,0.3137287892367633,0.25141180587605283,772.1429347466049,194.12584961907913,64.36041511091587,2143.2905
2026-03-02,1823270.9100000001,115381.22,1707889.69,1170297.0099999998,537592.68,109526.20999999999,428066.47000000003,6749.0,6708.0,41.0,16.0,8737.03,1162.98,2271,1,68504.75,0.9939250259297674,0.002370721588383464,0.0017613386173491853,0.9982386613826508,0.9932011331444759,0.31477014185851787,0.2506405844044881,752.0430162923822,188.49250110083665,63.81432170542636,5679.0695000000005
2026-03-03,1739005.75,105477.43,1633528.32,1117106.8399999999,516421.4800000001,106236.93,410184.55000000005,6594.0,6518.0,76.0,40.0,23502.14,5816.3,2227,1,66672.53,0.9884743706399758,0.006066120715802244,0.00224517287831163,0.9977548271216884,0.9882443630757372,0.3161386758204474,0.2511034213352359,733.5106960035923,184.18704535249216,62.93104479901811,15276.391
2026-03-04,1877873.2000000002,112494.37,1765378.83,1211280.94,554097.89,112194.54000000001,441903.35000000003,7031.0,6978.0,53.0,43.0,15372.21,4226.82,2345,1,70083.47,0.9924619542028161,0.006115773005262409,0.001279317697228145,0.9987206823027719,0.9919191919191919,0.3138691144268451,0.250316443411752,752.8267931769723,188.44492537313434,63.3280811120665,9991.9365
2026-03-05,1844335.9700000002,113367.86,1730968.1099999999,1194572.1400000001,536395.97,112655.20999999999,423740.76000000007,7027.0,6915.0,112.0,32.0,36041.59,11301.88,2370,1,71372.57,0.9840614771595275,0.004553863668706418,0.0037974683544303796,0.9962025316455696,0.9846625766871165,0.3098820636273883,0.24479986520375588,730.3662911392405,178.79356962025318,61.278490238611724,23427.033499999998
2026-03-06,1878858.02,125076.53,1753781.4900000002,1218531.0,535250.49,111485.20000000001,423765.29000000004,6973.0,6958.0,15.0,3.0,9562.8,3750.4,2301,1,69489.93,0.9978488455471103,0.0004302308905779435,0.000434593654932638,0.9995654063450674,0.9977802441731409,0.30519793546230206,0.24162946890265102,762.1823076923077,184.1657062146893,60.90331848232251,6215.82
2026-03-07,2567617.62,156431.41999999998,2411186.2,1661476.03,749710.1699999999,153497.39,596212.78,9534.0,9427.0,107.0,30.0,10457.89,3247.5200000000004,3192,1,96071.38,0.9887770086007971,0.0031466331025802393,0.005325814536340852,0.9946741854636592,0.9888948354294889,0.3109300185941674,0.24726948918337371,755.3841478696743,186.78345238095238,63.24522965948871,6797.6285
2026-03-08,2383166.7800000003,150457.02000000002,2232709.7600000002,1560994.08,671715.6800000002,142535.48,529180.2,8960.0,8827.0,133.0,106.0,32613.559999999998,12070.870000000003,2968,1,89131.86,0.98515625,0.011830357142857142,0.003032345013477089,0.996967654986523,0.9843568945538818,0.3008522164564731,0.2370125349387105,752.2607008086254,178.29521563342317,59.950175597598275,21198.814
2026-03-09,1874575.8900000001,125178.75,1749397.1400000001,1219605.74,529791.4,111824.92,417966.48000000004,7092.0,7035.0,57.0,35.0,23664.63,9093.24,2341,1,69855.81,0.9919627749576988,0.004935138183869149,0.0021358393848782574,0.9978641606151217,0.9922368658602636,0.3028422694231683,0.23892029456501798,747.2862622810766,178.5418539085861,59.41243496801707,15382.009500000002
2026-03-10,1859945.7,122008.47999999998,1737937.2200000002,1213840.17,524097.05000000005,110664.09,413432.9600000001,6920.0,6894.0,26.0,15.0,7128.4400000000005,2494.7200000000003,2309,1,69048.01999999999,0.996242774566474,0.002167630057803468,0.0008661758336942399,0.9991338241663058,0.9961404153648227,0.30156270546987884,0.23788716602778093,752.6796102208749,179.0528194023387,59.969968088192644,4633.486000000001
2026-03-11,1881385.0,113829.08,1767555.92,1230159.29,537396.63,113000.67000000001,424395.96,7018.0,6983.0,35.0,26.0,16655.73,6293.179999999999,2350,1,70672.26000000001,0.9950128241664292,0.0037047591906526076,0.000425531914893617,0.9995744680851064,0.9950693937180424,0.30403373603025813,0.2401032720933661,752.1514553191489,180.5940255319149,60.775592152370045,10826.2245
2026-03-12,1856835.17,116721.02,1740114.15,1214822.31,525291.8400000001,112727.70000000001,412564.14,7073.0,7030.0,43.0,32.0,16929.6,6162.629999999999,2345,1,70613.42,0.9939205429096565,0.004524247136999859,0.001279317697228145,0.9987206823027719,0.9944063514976543,0.30187205822100815,0.23709027364670301,742.0529424307036,175.9335351812367,58.68622190611664,11004.24
2026-03-13,1924114.5099999998,127752.51999999999,1796361.99,1264407.0,531954.99,116936.51999999999,415018.47000000003,7264.0,7238.0,26.0,11.0,8393.39,3056.16,2430,1,73515.31,0.996420704845815,0.0015143171806167401,0.0008230452674897119,0.9991769547325103,0.9964924587863907,0.2961290613814424,0.23103276083012647,739.2436172839506,170.7894938271605,57.3388325504283,5455.7035
2026-03-14,2430384.98,168389.08000000002,2261995.9,1601769.1,660226.8,145668.47,514558.33,9223.0,9185.0,38.0,25.0,7280.85,2060.2400000000002,3032,1,90999.11,0.9958798655535075,0.002710614767429253,0.0013192612137203166,0.9986807387862797,0.9957045863932382,0.29187798262587483,0.2274797801357642,746.040864116095,169.7092117414248,56.02159281437126,4732.552500000001
