model,selected,validation_mae,mae,rmse,wape,bias_units,wape_defined,train_end,validation_end,test_start,test_end,dimension,entity
Exponential smoothing,False,95.3925170406488,112.21428571428568,149.58786939425013,0.11228646987349007,-53.032480002516955,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,2
Seasonal naive,True,59.142857142857146,28.928571428571427,35.86183805344378,0.02894718033021228,4.357142857142857,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,2
Naive,False,121.28571428571429,142.35714285714286,198.0355307225737,0.141257353462329,-141.78571428571428,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,3
Moving average,False,114.3061224489796,121.58163265306123,139.70592291652918,0.12064234581776577,20.071428571428605,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,3
Exponential smoothing,False,119.97277148262363,106.31530169627293,143.94852213324276,0.10549395589679077,-40.07860241180385,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,3
Seasonal naive,True,78.57142857142857,73.5,105.22051673916614,0.07293217095470976,20.071428571428573,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,3
Naive,False,108.35714285714286,113.21428571428571,164.4065083869857,0.1080068143100511,-64.21428571428571,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,4
Moving average,False,108.72448979591834,117.1938775510204,168.2506330157604,0.11180335848138234,-73.50000000000007,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,4
Exponential smoothing,False,106.53042101849577,127.22996545420185,177.50226227923318,0.12137782053552476,-92.74172525913893,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,4
Seasonal naive,True,50.642857142857146,99.21428571428571,115.68028601031625,0.09465076660988075,-73.5,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,4
Naive,False,137.07142857142858,78.5,119.23955479861299,0.07899087184647452,-45.785714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,5
Moving average,False,90.92857142857143,97.94897959183673,113.01322841118366,0.09856146871887546,25.50000000000005,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,5
Exponential smoothing,False,118.1391867242102,83.18714390788143,110.68541173011174,0.08370732514269676,-11.380710608129286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,5
Seasonal naive,True,66.78571428571429,67.35714285714286,83.24018603672491,0.06777833680730252,25.5,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,5
Naive,False,120.64285714285714,103.35714285714286,142.44221886184488,0.10366072068199728,-50.07142857142857,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,6
Moving average,False,103.8673469387755,115.92857142857143,133.65012960284454,0.11626907371588223,8.928571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,6
Exponential smoothing,False,100.16202692249188,105.56764420245511,136.38357208643072,0.10587771465250889,-28.59791915424275,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,6
Seasonal naive,True,37.214285714285715,54.357142857142854,65.78590817405893,0.05451679919765026,8.928571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,6
Naive,False,104.14285714285714,97.28571428571429,138.0538197329474,0.0962408140192199,-68.85714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,7
Moving average,False,124.36734693877553,90.79591836734696,123.42923280246086,0.08982072195752243,-30.285714285714302,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,7
Exponential smoothing,False,108.84423747783937,100.6441844969863,142.12478747078922,0.09956321247582024,-76.69357335011088,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,7
Seasonal naive,True,51.285714285714285,67.0,78.81986696621244,0.06628038439796495,-30.285714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,store_id,7
Naive,False,261.57142857142856,292.42857142857144,433.03018700448916,0.1129566273038296,-276.85714285714283,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,0
Moving average,False,243.67346938775503,279.69387755102036,334.1039493624579,0.10803758651678307,-27.571428571428637,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,0
Exponential smoothing,False,221.42857142857142,244.8744409451139,361.09753629733757,0.09458785380288032,-139.73605624134572,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,0
Seasonal naive,True,67.14285714285714,80.0,97.24049714863806,0.030901666482728175,-27.571428571428573,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,0
Naive,False,202.71428571428572,182.5,269.2021279898911,0.0877614811252705,-103.5,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,1
Moving average,False,223.8775510204082,233.82653061224497,250.42785836423622,0.11244363097487134,30.92857142857156,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,1
Exponential smoothing,False,200.6645378090037,192.10346064884607,257.2350106016307,0.09237963964839917,-66.42525848602577,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,1
Seasonal naive,True,104.85714285714286,78.07142857142857,90.60629117230216,0.03754336550681826,30.928571428571427,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,1
Naive,False,184.85714285714286,174.78571428571428,269.97261765911423,0.09643349753694581,-141.5,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,2
Moving average,False,200.79591836734699,211.4591836734694,230.79390488184964,0.11666713581984518,20.07142857142867,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,2
Exponential smoothing,False,184.85714285714286,176.26552104438062,240.87584734945895,0.09724994264517552,-71.82067634466807,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,2
Seasonal naive,True,89.57142857142857,76.35714285714286,85.77503799391256,0.04212807881773399,20.071428571428573,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,2
Naive,False,142.78571428571428,183.5,260.77809395291297,0.11419300351157932,-169.92857142857142,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,3
Moving average,False,128.8673469387755,161.29591836734699,198.9308925230066,0.10037528813365594,-21.071428571428537,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,3
Exponential smoothing,False,127.23979138186633,138.0516664316583,216.2992122354609,0.08591026937117022,-87.49773891776736,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,3
Seasonal naive,True,69.5,67.21428571428571,88.04747096230047,0.041827799262123835,-21.071428571428573,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,category_id,3
Naive,False,136.57142857142858,126.0,176.3016894822217,0.10404624277456648,-81.0,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,0
Moving average,False,106.85714285714286,131.73469387755105,156.59378099049133,0.10878174556362596,0.5714285714286689,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,0
Exponential smoothing,False,108.34082500138707,122.78183116645427,165.4885038589195,0.1013887953480217,-53.52718183482011,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,0
Seasonal naive,True,44.285714285714285,44.142857142857146,51.58349680718769,0.036451574849593014,0.5714285714285714,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,0
Naive,False,90.64285714285714,86.42857142857143,112.17460878979189,0.10186900151540663,-27.428571428571427,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,1
Moving average,False,97.8265306122449,95.57142857142857,108.77105707467798,0.11264522646910254,0.5714285714285714,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,1
Exponential smoothing,False,89.44682463008924,83.82930307451541,114.73868476600417,0.09880537489840172,-36.52601066776752,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,1
Seasonal naive,True,34.357142857142854,30.142857142857142,36.34163295332621,0.0355278666442162,0.5714285714285714,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,1
Naive,False,78.78571428571429,88.28571428571429,123.88185616027185,0.13408548492080713,-75.42857142857143,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,2
Moving average,False,77.62244897959184,84.46938775510203,98.36469003101651,0.1282893717261259,-4.2857142857143185,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,2
Exponential smoothing,False,71.40808749524756,76.14285714285714,106.23002421201579,0.11564330657409416,-40.34319206664587,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,2
Seasonal naive,True,29.357142857142858,47.0,54.97401983794579,0.07138207854198307,-4.285714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,2
Naive,False,48.214285714285715,54.57142857142857,75.88901670955327,0.1020026702269693,-27.0,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,3
Moving average,False,46.15306122448981,54.95918367346938,72.99958065297503,0.10272744611863435,-17.285714285714334,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,3
Exponential smoothing,False,45.38238124590992,54.57142857142857,77.27387849307448,0.1020026702269693,-30.677507073091533,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,3
Seasonal naive,True,42.5,45.285714285714285,52.08509520829488,0.08464619492656876,-17.285714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,3
Naive,False,38.07142857142857,64.42857142857143,85.69297354092525,0.14904163912756113,-63.285714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,4
Moving average,False,41.520408163265316,45.142857142857146,59.349707287416685,0.10442828816920026,-13.571428571428564,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,4
Exponential smoothing,False,38.07142857142857,47.73530828351402,62.70230658147211,0.11042536615485729,-24.35929327801336,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,4
Seasonal naive,True,26.928571428571427,28.571428571428573,35.40379317853627,0.06609385327164574,-13.571428571428571,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,4
Naive,False,39.357142857142854,39.642857142857146,50.133393490338776,0.10808179162609542,-16.785714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,5
Moving average,False,40.60204081632652,42.54081632653062,47.35892045791137,0.11598275142578941,3.3571428571428816,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,5
Exponential smoothing,False,39.64918672677959,39.977403289085764,49.115528614105884,0.10899389406956196,-13.443891262113945,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,5
Seasonal naive,True,24.785714285714285,31.357142857142858,35.45923212447138,0.08549172346640702,3.357142857142857,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,5
Naive,False,41.214285714285715,40.214285714285715,52.887346582821,0.12231153595481208,-32.785714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,6
Moving average,False,38.8469387755102,35.07142857142857,42.771939113280844,0.10666956332826417,-10.357142857142842,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,6
Exponential smoothing,False,39.94551517945941,36.789084198588284,48.08884808370541,0.11189380377584966,-24.29750898077328,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,6
Seasonal naive,True,26.214285714285715,22.928571428571427,28.105667959124748,0.06973712796002607,-10.357142857142858,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,6
Naive,False,54.785714285714285,25.428571428571427,31.22498999199199,0.09081632653061225,-5.0,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,7
Moving average,False,31.785714285714285,25.428571428571427,30.83398601993506,0.09081632653061225,0.8571428571428328,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,7
Exponential smoothing,False,34.60398584046526,26.01957416250132,32.44625027632975,0.09292705058036185,-10.137019137509242,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,7
Seasonal naive,True,21.785714285714285,25.857142857142858,32.958848800977776,0.0923469387755102,0.8571428571428571,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,7
Naive,False,31.214285714285715,39.142857142857146,53.90997787317033,0.14891304347826087,-35.857142857142854,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,8
Moving average,False,29.54081632653061,32.06122448979592,42.39175892186824,0.121972049689441,-13.285714285714274,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,8
Exponential smoothing,False,29.15396284881943,34.642936126166354,47.71049091708113,0.13179377874085024,-25.607419298725087,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,8
Seasonal naive,True,25.214285714285715,17.857142857142858,22.45630678196471,0.06793478260869565,-13.285714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,8
Naive,False,24.857142857142858,27.785714285714285,35.23695300594047,0.12345287210409393,-13.071428571428571,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,9
Moving average,False,24.897959183673468,30.5,33.25550437790068,0.13551253570295144,5.928571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,9
Exponential smoothing,False,25.37464892937575,28.783760821933633,33.28376614130722,0.12788722675565561,-6.085102817893118,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,9
Seasonal naive,True,22.428571428571427,13.785714285714286,17.49897956208549,0.06125039669946049,5.928571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,9
Naive,False,27.142857142857142,33.07142857142857,36.008927464489375,0.157429445766746,2.9285714285714284,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,10
Moving average,False,27.265306122448983,33.07142857142857,37.64373813010822,0.157429445766746,11.357142857142845,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,10
Exponential smoothing,False,28.099331688061675,33.07142857142857,36.12470501615549,0.157429445766746,4.114363374039483,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,10
Seasonal naive,True,17.428571428571427,21.785714285714285,24.572051487120778,0.1037062223733424,11.357142857142858,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,10
Naive,True,19.071428571428573,22.642857142857142,34.493270565223504,0.11939736346516007,-18.642857142857142,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,11
Moving average,False,19.132653061224485,21.74489795918368,30.047411515395304,0.11466236211998929,-7.785714285714282,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,11
Exponential smoothing,False,20.307719343799427,21.069920171562817,30.74433715531481,0.11110315721351391,-10.148136542387281,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,11
Seasonal naive,False,19.357142857142858,17.928571428571427,22.553111917047218,0.09453860640301319,-7.785714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,11
Naive,False,30.0,25.928571428571427,35.214647926273926,0.15194642109669318,-24.642857142857142,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,12
Moving average,False,22.489795918367342,21.62244897959184,25.43880211529671,0.12671171440531007,3.7857142857142736,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,12
Exponential smoothing,False,24.8738988091208,20.102393497255814,25.73409432071484,0.11780389659337857,-5.426102662066431,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,12
Seasonal naive,True,15.285714285714286,14.5,18.854707634964804,0.0849727919631645,3.7857142857142856,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,12
Naive,False,23.0,17.285714285714285,21.280440382124212,0.10950226244343891,-9.857142857142858,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,13
Moving average,False,21.95918367346939,16.20408163265306,19.195024865621736,0.10265029088558499,3.571428571428559,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,13
Exponential smoothing,False,21.63565954336961,16.78646855255027,19.90412772473464,0.10633961978991122,-6.362422724994754,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,13
Seasonal naive,True,15.571428571428571,15.142857142857142,18.98495645053134,0.09592760180995476,3.5714285714285716,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,13
Naive,False,18.642857142857142,16.642857142857142,21.19467588132184,0.11283292978208233,-5.5,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,14
Moving average,True,16.357142857142858,16.54081632653061,20.790254781448713,0.11214112763749567,3.642857142857139,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,14
Exponential smoothing,False,16.41642940030743,15.95874775431683,20.70287766314683,0.10819490002926664,-3.1056171401089046,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,14
Seasonal naive,False,20.214285714285715,15.5,20.076638876351502,0.10508474576271186,3.642857142857143,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,14
Naive,True,11.857142857142858,53.642857142857146,59.03086359814548,0.3608841902931283,-53.642857142857146,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,15
Moving average,False,17.367346938775515,18.724489795918366,25.34234980970689,0.1259696574449097,-5.928571428571421,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,15
Exponential smoothing,False,19.5913595150428,23.437367835326054,29.39646012129525,0.1576757086470758,-16.033250854677735,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,15
Seasonal naive,False,24.0,14.928571428571429,20.79319943772826,0.10043248438250842,-5.928571428571429,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,15
Naive,False,15.5,18.428571428571427,27.539581903663162,0.13885898815931108,-9.714285714285714,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,16
Moving average,False,14.377551020408163,19.183673469387752,26.36478789628937,0.14454866984468706,-5.571428571428576,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,16
Exponential smoothing,False,15.759784542855774,18.447485277149905,27.493159457793002,0.13900150370295947,-9.581888774236367,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,16
Seasonal naive,True,12.071428571428571,15.714285714285714,20.255510714018403,0.11840688912809473,-5.571428571428571,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,16
Naive,False,23.357142857142858,22.071428571428573,28.356153275284512,0.17408450704225353,-19.785714285714285,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,17
Moving average,False,22.928571428571427,16.704081632653065,20.40383117286095,0.13175050301810867,1.9285714285714366,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,17
Exponential smoothing,False,22.928571428571427,15.5,21.207184034136677,0.12225352112676056,-6.0948926062918725,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,17
Seasonal naive,True,20.5,17.5,22.546776773125305,0.13802816901408452,1.9285714285714286,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,17
Naive,True,17.285714285714285,15.285714285714286,16.43602315473111,0.1281437125748503,5.714285714285714,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,18
Moving average,False,20.591836734693878,16.346938775510207,18.066204778592567,0.1370402053036784,9.428571428571436,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,18
Exponential smoothing,False,19.276849385294422,14.626377806393796,15.782736588875554,0.12261634089192404,3.406608036664003,True,2026-04-02 00:00:00,2026-04-16 00:00:00,2026-04-17 00:00:00,2026-04-30 00:00:00,product_id,18
