priority,issue,store_id,product_id,evidence,operational_impact,financial_impact_inr,recommended_action,suggested_owner,suggested_timing
HIGH,Lead-time stock deficit,1,19,Stock 39; daily planning demand 13.89; lead 5 days; safety 22; failed replenishments 5,Unfulfilled future demand risk,18522.28571428571,Review reorder of 150 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,22,Stock 18; daily planning demand 13.29; lead 3 days; safety 14; failed replenishments 10,Unfulfilled future demand risk,4808.571428571429,Review reorder of 129 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,23,Stock 37; daily planning demand 11.29; lead 5 days; safety 19; failed replenishments 4,Unfulfilled future demand risk,14862.857142857145,Review reorder of 118 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,27,Stock 18; daily planning demand 8.86; lead 5 days; safety 14; failed replenishments 6,Unfulfilled future demand risk,13405.714285714288,Review reorder of 103 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,30,Stock 17; daily planning demand 8.21; lead 3 days; safety 10; failed replenishments 3,Unfulfilled future demand risk,3408.714285714284,Review reorder of 76 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,31,Stock 25; daily planning demand 9.14; lead 5 days; safety 17; failed replenishments 4,Unfulfilled future demand risk,3107.1428571428564,Review reorder of 102 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,34,Stock 11; daily planning demand 7.11; lead 3 days; safety 9; failed replenishments 7,Unfulfilled future demand risk,5790.3214285714275,Review reorder of 70 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,35,Stock 12; daily planning demand 6.71; lead 5 days; safety 9; failed replenishments 12,Unfulfilled future demand risk,6471.428571428571,Review reorder of 78 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,1,39,Stock 19; daily planning demand 6.50; lead 5 days; safety 12; failed replenishments 5,Unfulfilled future demand risk,8208.0,Review reorder of 71 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,0,Stock 0; daily planning demand 152.14; lead 1 days; safety 40; failed replenishments 9,Unfulfilled future demand risk,5325.0,Review reorder of 1258 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,6,Stock 1; daily planning demand 37.79; lead 3 days; safety 31; failed replenishments 7,Unfulfilled future demand risk,24718.57142857143,Review reorder of 408 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,7,Stock 33; daily planning demand 37.29; lead 5 days; safety 32; failed replenishments 5,Unfulfilled future demand risk,117372.85714285713,Review reorder of 447 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,9,Stock 36; daily planning demand 30.00; lead 2 days; safety 20; failed replenishments 8,Unfulfilled future demand risk,4320.0,Review reorder of 254 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,11,Stock 46; daily planning demand 23.86; lead 5 days; safety 26; failed replenishments 8,Unfulfilled future demand risk,18687.857142857145,Review reorder of 267 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,15,Stock 1; daily planning demand 19.64; lead 5 days; safety 20; failed replenishments 7,Unfulfilled future demand risk,24789.642857142855,Review reorder of 255 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,19,Stock 13; daily planning demand 13.71; lead 5 days; safety 17; failed replenishments 2,Unfulfilled future demand risk,33787.42857142857,Review reorder of 169 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,22,Stock 19; daily planning demand 13.14; lead 3 days; safety 11; failed replenishments 8,Unfulfilled future demand risk,4494.285714285715,Review reorder of 124 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,23,Stock 26; daily planning demand 10.89; lead 5 days; safety 18; failed replenishments 5,Unfulfilled future demand risk,21775.178571428565,Review reorder of 123 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,25,Stock 12; daily planning demand 9.14; lead 2 days; safety 8; failed replenishments 6,Unfulfilled future demand risk,509.14285714285705,Review reorder of 79 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,27,Stock 26; daily planning demand 9.18; lead 5 days; safety 14; failed replenishments 8,Unfulfilled future demand risk,10145.357142857145,Review reorder of 99 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,28,Stock 0; daily planning demand 11.00; lead 1 days; safety 8; failed replenishments 5,Unfulfilled future demand risk,517.0,Review reorder of 96 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,30,Stock 9; daily planning demand 9.57; lead 3 days; safety 11; failed replenishments 4,Unfulfilled future demand risk,8792.57142857143,Review reorder of 98 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,31,Stock 0; daily planning demand 10.43; lead 5 days; safety 15; failed replenishments 8,Unfulfilled future demand risk,7821.428571428572,Review reorder of 141 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,32,Stock 7; daily planning demand 8.43; lead 1 days; safety 7; failed replenishments 6,Unfulfilled future demand risk,100.00000000000001,Review reorder of 68 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,33,Stock 7; daily planning demand 7.57; lead 2 days; safety 8; failed replenishments 9,Unfulfilled future demand risk,659.5714285714286,Review reorder of 70 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,34,Stock 17; daily planning demand 7.82; lead 3 days; safety 11; failed replenishments 4,Unfulfilled future demand risk,3626.4642857142862,Review reorder of 73 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,35,Stock 2; daily planning demand 9.86; lead 5 days; safety 12; failed replenishments 6,Unfulfilled future demand risk,14185.714285714288,Review reorder of 129 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,2,37,Stock 3; daily planning demand 7.86; lead 2 days; safety 7; failed replenishments 5,Unfulfilled future demand risk,1296.857142857143,Review reorder of 75 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,38,Stock 12; daily planning demand 7.43; lead 3 days; safety 13; failed replenishments 10,Unfulfilled future demand risk,2262.8571428571427,Review reorder of 76 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,2,39,Stock 18; daily planning demand 6.54; lead 5 days; safety 13; failed replenishments 3,Unfulfilled future demand risk,8924.57142857143,Review reorder of 74 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,3,Stock 81; daily planning demand 70.43; lead 5 days; safety 43; failed replenishments 4,Unfulfilled future demand risk,109812.85714285716,Review reorder of 808 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,6,Stock 53; daily planning demand 42.89; lead 3 days; safety 33; failed replenishments 9,Unfulfilled future demand risk,16649.285714285717,Review reorder of 409 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,7,Stock 38; daily planning demand 38.29; lead 5 days; safety 30; failed replenishments 3,Unfulfilled future demand risk,117372.85714285713,Review reorder of 452 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,11,Stock 0; daily planning demand 25.43; lead 5 days; safety 20; failed replenishments 4,Unfulfilled future demand risk,32421.42857142857,Review reorder of 326 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,15,Stock 38; daily planning demand 17.71; lead 5 days; safety 20; failed replenishments 3,Unfulfilled future demand risk,12895.714285714288,Review reorder of 195 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,18,Stock 14; daily planning demand 17.14; lead 3 days; safety 10; failed replenishments 7,Unfulfilled future demand risk,20997.428571428572,Review reorder of 168 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,19,Stock 14; daily planning demand 14.00; lead 5 days; safety 18; failed replenishments 4,Unfulfilled future demand risk,34048.0,Review reorder of 172 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,23,Stock 11; daily planning demand 13.71; lead 5 days; safety 16; failed replenishments 6,Unfulfilled future demand risk,44042.142857142855,Review reorder of 170 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,26,Stock 19; daily planning demand 9.93; lead 3 days; safety 15; failed replenishments 5,Unfulfilled future demand risk,4810.428571428571,Review reorder of 96 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,27,Stock 11; daily planning demand 8.89; lead 5 days; safety 14; failed replenishments 3,Unfulfilled future demand risk,17066.78571428571,Review reorder of 110 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,30,Stock 11; daily planning demand 8.89; lead 3 days; safety 12; failed replenishments 3,Unfulfilled future demand risk,6992.642857142857,Review reorder of 90 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,31,Stock 7; daily planning demand 11.43; lead 5 days; safety 16; failed replenishments 7,Unfulfilled future demand risk,7521.428571428572,Review reorder of 147 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,33,Stock 11; daily planning demand 9.43; lead 2 days; safety 9; failed replenishments 5,Unfulfilled future demand risk,636.4285714285714,Review reorder of 83 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,34,Stock 14; daily planning demand 8.00; lead 3 days; safety 10; failed replenishments 2,Unfulfilled future demand risk,5610.0,Review reorder of 76 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,35,Stock 8; daily planning demand 8.14; lead 5 days; safety 14; failed replenishments 6,Unfulfilled future demand risk,9814.285714285712,Review reorder of 104 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,3,37,Stock 11; daily planning demand 8.29; lead 2 days; safety 9; failed replenishments 3,Unfulfilled future demand risk,568.2857142857144,Review reorder of 73 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,38,Stock 7; daily planning demand 8.57; lead 3 days; safety 9; failed replenishments 4,Unfulfilled future demand risk,4117.142857142858,Review reorder of 88 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,3,39,Stock 4; daily planning demand 6.54; lead 5 days; safety 10; failed replenishments 1,Unfulfilled future demand risk,17436.57142857143,Review reorder of 85 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,2,Stock 90; daily planning demand 88.29; lead 3 days; safety 56; failed replenishments 6,Unfulfilled future demand risk,77986.28571428572,Review reorder of 849 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,3,Stock 16; daily planning demand 67.00; lead 5 days; safety 38; failed replenishments 3,Unfulfilled future demand risk,129195.0,Review reorder of 826 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,7,Stock 33; daily planning demand 37.14; lead 5 days; safety 39; failed replenishments 5,Unfulfilled future demand risk,116826.42857142858,Review reorder of 452 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,11,Stock 43; daily planning demand 22.57; lead 5 days; safety 22; failed replenishments 3,Unfulfilled future demand risk,17813.57142857143,Review reorder of 250 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,14,Stock 0; daily planning demand 22.86; lead 3 days; safety 18; failed replenishments 5,Unfulfilled future demand risk,25645.714285714286,Review reorder of 247 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,15,Stock 23; daily planning demand 17.86; lead 5 days; safety 23; failed replenishments 8,Unfulfilled future demand risk,16902.857142857145,Review reorder of 215 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,18,Stock 23; daily planning demand 15.79; lead 3 days; safety 18; failed replenishments 5,Unfulfilled future demand risk,13664.357142857145,Review reorder of 153 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,19,Stock 30; daily planning demand 14.46; lead 5 days; safety 14; failed replenishments 1,Unfulfilled future demand risk,25731.42857142857,Review reorder of 158 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,22,Stock 17; daily planning demand 13.43; lead 3 days; safety 12; failed replenishments 4,Unfulfilled future demand risk,5122.857142857142,Review reorder of 130 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,23,Stock 11; daily planning demand 13.71; lead 5 days; safety 19; failed replenishments 3,Unfulfilled future demand risk,44042.142857142855,Review reorder of 173 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,27,Stock 0; daily planning demand 12.29; lead 5 days; safety 15; failed replenishments 2,Unfulfilled future demand risk,31328.57142857143,Review reorder of 163 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,31,Stock 5; daily planning demand 12.00; lead 5 days; safety 17; failed replenishments 5,Unfulfilled future demand risk,8250.0,Review reorder of 156 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,4,35,Stock 15; daily planning demand 6.79; lead 5 days; safety 12; failed replenishments 5,Unfulfilled future demand risk,5678.571428571429,Review reorder of 79 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,38,Stock 7; daily planning demand 7.00; lead 3 days; safety 10; failed replenishments 5,Unfulfilled future demand risk,3080.0,Review reorder of 73 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,4,39,Stock 10; daily planning demand 6.00; lead 5 days; safety 12; failed replenishments 2,Unfulfilled future demand risk,12160.0,Review reorder of 74 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,3,Stock 85; daily planning demand 66.57; lead 5 days; safety 50; failed replenishments 4,Unfulfilled future demand risk,100382.14285714284,Review reorder of 764 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,6,Stock 69; daily planning demand 44.57; lead 3 days; safety 28; failed replenishments 1,Unfulfilled future demand risk,14237.142857142859,Review reorder of 405 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,7,Stock 71; daily planning demand 34.11; lead 5 days; safety 28; failed replenishments 3,Unfulfilled future demand risk,76144.82142857142,Review reorder of 367 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,10,Stock 31; daily planning demand 31.57; lead 3 days; safety 20; failed replenishments 5,Unfulfilled future demand risk,28416.57142857143,Review reorder of 305 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,11,Stock 34; daily planning demand 24.29; lead 5 days; safety 23; failed replenishments 4,Unfulfilled future demand risk,22294.28571428571,Review reorder of 281 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,15,Stock 3; daily planning demand 21.00; lead 5 days; safety 19; failed replenishments 2,Unfulfilled future demand risk,26010.0,Review reorder of 268 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,18,Stock 23; daily planning demand 16.43; lead 3 days; safety 16; failed replenishments 2,Unfulfilled future demand risk,14746.28571428571,Review reorder of 158 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,19,Stock 24; daily planning demand 13.43; lead 5 days; safety 15; failed replenishments 1,Unfulfilled future demand risk,26230.85714285714,Review reorder of 153 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,21,Stock 14; daily planning demand 13.89; lead 2 days; safety 14; failed replenishments 3,Unfulfilled future demand risk,3349.928571428571,Review reorder of 126 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,22,Stock 20; daily planning demand 12.43; lead 3 days; safety 10; failed replenishments 3,Unfulfilled future demand risk,3802.8571428571427,Review reorder of 115 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,23,Stock 16; daily planning demand 12.71; lead 5 days; safety 17; failed replenishments 0,Unfulfilled future demand risk,36392.142857142855,Review reorder of 154 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,25,Stock 15; daily planning demand 10.71; lead 2 days; safety 9; failed replenishments 3,Unfulfilled future demand risk,520.7142857142856,Review reorder of 91 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,27,Stock 3; daily planning demand 11.00; lead 5 days; safety 12; failed replenishments 4,Unfulfilled future demand risk,26520.0,Review reorder of 141 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,29,Stock 8; daily planning demand 9.71; lead 2 days; safety 9; failed replenishments 5,Unfulfilled future demand risk,1851.428571428571,Review reorder of 89 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,31,Stock 21; daily planning demand 7.75; lead 5 days; safety 17; failed replenishments 2,Unfulfilled future demand risk,2662.5,Review reorder of 89 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,34,Stock 0; daily planning demand 8.71; lead 3 days; safety 10; failed replenishments 5,Unfulfilled future demand risk,14666.142857142855,Review reorder of 98 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,5,35,Stock 20; daily planning demand 7.86; lead 5 days; safety 15; failed replenishments 1,Unfulfilled future demand risk,5785.714285714285,Review reorder of 90 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,5,39,Stock 10; daily planning demand 6.36; lead 5 days; safety 11; failed replenishments 3,Unfulfilled future demand risk,13245.714285714284,Review reorder of 78 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,2,Stock 153; daily planning demand 89.86; lead 3 days; safety 45; failed replenishments 2,Unfulfilled future demand risk,51990.85714285714,Review reorder of 791 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,3,Stock 42; daily planning demand 64.61; lead 5 days; safety 49; failed replenishments 3,Unfulfilled future demand risk,113819.4642857143,Review reorder of 783 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,6,Stock 55; daily planning demand 43.86; lead 3 days; safety 25; failed replenishments 2,Unfulfilled future demand risk,16845.714285714283,Review reorder of 409 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,7,Stock 82; daily planning demand 33.86; lead 5 days; safety 31; failed replenishments 1,Unfulfilled future demand risk,66773.57142857142,Review reorder of 356 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,11,Stock 24; daily planning demand 25.14; lead 5 days; safety 29; failed replenishments 1,Unfulfilled future demand risk,25937.142857142855,Review reorder of 307 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,14,Stock 37; daily planning demand 20.71; lead 3 days; safety 16; failed replenishments 4,Unfulfilled future demand risk,9403.428571428572,Review reorder of 187 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,15,Stock 27; daily planning demand 17.79; lead 5 days; safety 22; failed replenishments 2,Unfulfilled future demand risk,15791.785714285712,Review reorder of 209 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,19,Stock 21; daily planning demand 13.79; lead 5 days; safety 20; failed replenishments 1,Unfulfilled future demand risk,29140.57142857143,Review reorder of 165 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,23,Stock 0; daily planning demand 13.00; lead 5 days; safety 16; failed replenishments 2,Unfulfilled future demand risk,49725.0,Review reorder of 172 units; confirm inbound before placing order,Supply Chain Manager,Today
